player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Cheyenne",DAovHf6aFe,2021-04-20T02:21:14.324Z,,1000,,480,-520
"Scotty",-4Mt9GCcpf,2021-04-20T02:09:48.740Z,,1000,,2174,1174
"Jacob",wHCkaNaedp,2021-04-20T01:40:17.280Z,2021-04-20T02:21:14.321Z,1191,0,0,-1191
"Fish",L5G0fi1P1T,2021-04-20T01:16:36.477Z,2021-04-20T03:03:15.809Z,1000,3166,0,2166
"Cedric",UOl9ieuNTH,2021-04-20T00:48:32.539Z,2021-04-20T03:03:15.812Z,1000,1685,0,685
"Cedric",UOl9ieuNTH,2021-04-20T00:43:29.912Z,2021-04-20T00:47:10.328Z,1500,0,0,-1500
"tris",J_J1Sm6uON,2021-04-20T00:03:14.385Z,2021-04-20T01:33:29.826Z,1000,0,0,-1000
"Cedric",UOl9ieuNTH,2021-04-19T23:41:03.361Z,2021-04-20T00:40:45.990Z,1500,0,0,-1500
"tris",J_J1Sm6uON,2021-04-19T23:34:06.258Z,2021-04-20T00:00:10.089Z,1000,0,0,-1000
"Ray",gpL6BdHM3Z,2021-04-19T23:34:06.256Z,2021-04-20T02:30:00.141Z,1000,5686,0,4686
"Fish",L5G0fi1P1T,2021-04-19T23:34:06.260Z,2021-04-20T01:14:48.840Z,1000,0,0,-1000
"Scotty",-4Mt9GCcpf,2021-04-19T23:34:06.254Z,2021-04-20T02:09:30.261Z,1000,0,0,-1000
